N,torch,torch-compile,torch-compile-checkpoint,triton,triton-recomp,triton-par-recomp,triton-many-recomp,malek
256.000000,54.988130,54.988130,11.587659,6.009417,2.288841,3.003279,3.619612,5.845195
512.000000,51.247819,51.195843,24.037669,8.560132,4.269568,3.400755,5.555396,11.734977
1024.000000,46.610438,46.532893,25.967869,10.901437,7.510811,3.652216,8.483170,23.318341
2048.000000,49.794432,49.720861,26.900332,14.916993,11.088826,3.800851,10.684539,46.957304
4096.000000,51.430568,51.388031,37.346975,16.077347,12.416839,3.823233,10.514016,80.766568
8192.000000,52.313341,52.335746,39.267117,16.041982,12.680205,3.763692,10.596368,89.815479
16384.000000,52.472256,52.444973,63.059542,15.781347,12.719545,3.778915,10.814296,71.332802
