N,torch,torch-compile,torch-compile-checkpoint,triton,triton-recomp,triton-par-recomp,triton-many-recomp,malek
256.000000,50.681832,73.019228,67.305469,5.158298,5.150650,5.151980,5.151980,2.109096
512.000000,49.782152,98.399809,87.183254,9.670327,10.329262,10.322925,10.329262,4.239515
1024.000000,45.661784,126.040212,92.963361,19.374057,20.674389,20.674785,20.696639,8.403140
2048.000000,44.810566,89.501955,103.071163,41.447446,41.393278,41.393278,41.393278,16.942850
4096.000000,44.855129,93.674978,94.389306,82.054825,81.929969,81.954132,81.929969,29.663054
8192.000000,44.769583,91.308085,89.531720,138.381847,138.631250,137.568670,138.631250,33.294818
16384.000000,44.706390,88.197176,86.594369,142.823280,141.901109,143.355639,143.585010,24.527693
