N,torch,torch-compile,torch-compile-checkpoint,triton,triton-recomp,triton-par-recomp,triton-many-recomp,malek
256.000000,47.802181,54.797861,49.199904,6.257482,1.814457,2.523859,3.075556,0.000017
512.000000,51.145188,77.719943,64.222782,7.886744,3.348864,2.574217,4.531135,0.000034
1024.000000,47.465073,73.535290,71.298167,8.866483,5.774815,2.639126,6.637293,0.000069
2048.000000,52.830039,80.557116,69.422870,11.824573,8.289920,2.651022,7.926713,0.000138
4096.000000,56.322570,86.181162,66.180409,12.528941,9.056629,2.597539,7.643137,0.000276
8192.000000,58.062632,89.072583,67.669191,12.334775,9.373369,2.570825,7.491506,0.000551
16384.000000,58.413842,89.190619,66.068743,11.529599,9.062574,2.569542,7.453644,0.001103
