H,torch,torch-compile,torch-compile-checkpoint,triton,triton-recomp,triton-par-recomp,triton-many-recomp,malek
1024.000000,75.407764,121.531945,89.909256,91.376162,91.531723,91.407232,91.128360,37.436105
2048.000000,100.404434,130.609974,96.786906,96.909109,97.648878,97.154180,96.821799,40.250534
4096.000000,118.075748,135.743087,99.144825,100.593281,100.876694,100.871215,100.377362,43.167425
8192.000000,119.819082,136.633384,128.147303,102.440833,102.309081,102.304207,102.313956,41.306117
