V,torch,torch-compile,torch-compile-checkpoint,triton,triton-recomp,triton-par-recomp,triton-many-recomp,malek
1024.000000,46.226284,31.314580,0.848495,7.315878,3.867538,8.688034,7.093747,2.876302
2048.000000,62.629159,62.474140,2.422218,15.122559,6.666548,9.460102,9.124928,5.961160
4096.000000,59.951429,59.880312,4.967148,16.939296,10.045593,8.845314,10.628298,12.154623
8192.000000,50.707286,50.630996,10.203564,17.240131,11.693098,7.223684,10.859808,24.118332
16384.000000,50.951998,50.918474,20.255383,16.607081,12.248494,5.286323,10.938986,48.666283
32768.000000,51.483022,51.508775,40.616256,16.489703,12.432512,3.807373,11.094308,82.398051
65536.000000,49.565242,49.687690,63.525691,15.861501,12.516320,2.364686,10.360599,44.794413
131072.000000,46.583554,46.512423,60.633284,15.298871,12.193941,2.088402,10.194838,33.034711
