V,torch,torch-compile,torch-compile-checkpoint,triton,triton-recomp,triton-par-recomp,triton-many-recomp,malek
1024.000000,80.236576,110.457268,0.000069,152.285747,151.598231,153.328808,152.285747,16.835011
2048.000000,87.783774,128.041981,0.000138,151.256791,148.415501,147.600035,145.995684,34.034080
4096.000000,97.755483,129.899456,0.000275,146.393495,145.678997,145.442375,113.299062,53.866465
8192.000000,95.327204,121.607993,0.000550,145.678997,144.815126,144.737100,144.951878,51.939690
16384.000000,89.986456,120.052319,0.001100,142.936918,142.491482,143.041569,143.270437,48.961256
32768.000000,91.965783,115.689951,0.002201,137.618888,136.354695,136.482701,135.908717,42.861118
65536.000000,89.454572,117.239386,0.004401,120.896523,118.883477,119.013503,117.863080,36.821926
131072.000000,87.489831,112.685670,0.008803,105.261413,105.790590,104.427051,103.790323,34.128124
