V,torch,torch-compile,torch-compile-checkpoint,triton,triton-recomp,triton-par-recomp,triton-many-recomp,malek
1024.000000,35.054934,80.460813,2.910035,56.845835,57.624546,57.624546,55.349897,1.044597
2048.000000,48.631123,113.691671,5.864378,66.771302,68.960526,68.960526,68.960526,2.081956
4096.000000,54.278606,132.491080,11.202642,75.794450,75.454567,75.454567,75.454567,4.236346
8192.000000,43.704853,137.358104,23.484115,78.812030,78.627888,78.627888,78.627888,8.482068
16384.000000,43.704853,108.382400,47.231909,81.090933,80.798886,80.896001,75.965545,16.898186
32768.000000,44.795654,96.633843,94.067749,81.979866,81.989231,81.979866,81.830363,29.617370
65536.000000,42.611884,91.447650,83.843627,82.659471,82.583403,82.583403,82.509054,14.802171
131072.000000,36.386252,86.455328,80.137485,82.659471,82.914039,82.926812,82.722965,11.094363
