H,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,24.238420,8.238542,8.238542,3.306779,1.808762,2.410586
512.000000,24.238420,8.238542,8.238542,3.375138,1.879075,2.551211
1024.000000,24.238420,8.238542,8.238542,3.511857,2.019700,2.832461
2048.000000,24.238420,8.238542,8.238542,3.785295,2.300950,3.394961
4096.000000,24.238420,8.238542,8.238542,4.332170,2.863450,4.519961
8192.000000,24.238420,8.238542,8.238542,6.363420,3.988450,6.988420
