N,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,1.738420,1.740373,1.740373,1.740373,1.740373,
512.000000,1.738420,1.742326,1.742326,1.742326,1.742326,1.744279
1024.000000,2.242326,1.746232,1.746232,1.992327,1.746232,1.754114
2048.000000,3.746232,1.754045,2.246232,3.246233,1.754045,2.269807
4096.000000,6.754045,2.754076,2.754076,5.754045,1.769670,3.301195
8192.000000,12.769670,4.769731,4.769731,6.285295,2.052903,3.332461
16384.000000,24.800920,8.801042,8.801042,6.347795,2.867386,3.394961
32768.000000,,,,6.472795,4.496354,3.519961
65536.000000,,,,6.722795,7.754288,3.769961
