H,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.004438,0.004499,0.004566,0.004468,0.004467,0.000285
512.000000,0.005789,0.005805,0.005928,0.006000,0.005883,0.000399
1024.000000,0.013507,0.013654,0.013761,0.013952,0.013695,0.000527
2048.000000,0.013200,0.013452,0.013160,0.013174,0.013330,0.000532
4096.000000,0.009343,0.010053,0.009781,0.008403,0.009511,0.000187
8192.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000
