N,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.000922,0.000755,0.006811,0.009937,0.016840,
512.000000,0.009527,0.005692,0.001089,0.057543,0.048765,0.000032
1024.000000,0.012560,0.017881,0.001822,0.016193,0.010775,0.000040
2048.000000,0.007692,0.004961,0.002335,0.011833,0.047857,0.000048
4096.000000,0.000391,0.003431,0.003973,0.053772,0.002249,0.000050
8192.000000,0.008595,0.001423,0.005356,0.000608,0.017321,0.000038
16384.000000,0.004524,0.002102,0.000088,0.015017,0.040518,0.000042
32768.000000,,,,0.015469,0.001591,0.000029
