H,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.004464,0.004561,0.004479,0.004472,0.004477,0.000285
512.000000,0.005980,0.005831,0.005781,0.005809,0.005963,0.000400
1024.000000,0.013668,0.013465,0.013458,0.013702,0.013559,0.000525
2048.000000,0.013762,0.012980,0.013129,0.013537,0.013772,0.000535
4096.000000,0.009134,0.009031,0.008325,0.008411,0.009446,0.000195
8192.000000,0.000000,0.000139,0.000000,0.000000,0.000701,0.000000
