H,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.002575,0.002419,0.002419,0.020691,0.131798,0.000011
512.000000,0.001003,0.003002,0.001801,0.015152,0.053387,0.000042
1024.000000,0.005016,0.003536,0.003735,0.127861,0.116745,0.000065
2048.000000,0.000286,0.000423,0.006701,0.037891,0.010986,0.000042
4096.000000,0.002201,0.000036,0.002481,0.004077,0.001152,0.000029
8192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
