H,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.000583,0.000586,0.000577,0.000580,0.000574,0.000104
512.000000,0.000739,0.000743,0.000746,0.000746,0.000758,0.000124
1024.000000,0.001706,0.001707,0.001716,0.001708,0.001714,0.000147
2048.000000,0.001712,0.001617,0.001655,0.001717,0.001684,0.000141
4096.000000,0.001109,0.001117,0.001140,0.001139,0.001307,0.000046
8192.000000,0.000000,0.000000,0.000000,0.000003,0.000000,0.000000
