H,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.000179,0.000046,0.000099,0.009865,0.009560,0.000023
512.000000,0.000137,0.000069,0.000034,0.008060,0.005123,0.000061
1024.000000,0.000359,0.000126,0.000168,0.009365,0.011215,0.000107
2048.000000,0.000372,0.000206,0.000353,0.009293,0.004208,0.000078
4096.000000,0.000141,0.000013,0.000091,0.000051,0.000114,0.000012
8192.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000061
