N,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.015228,0.012275,0.014405,0.013698,0.012868,
512.000000,0.007514,0.008589,0.011523,0.010745,0.017311,0.000490
1024.000000,0.006518,0.007937,0.006729,0.007025,0.006658,0.000352
2048.000000,0.005126,0.004952,0.004873,0.005151,0.004678,0.000248
4096.000000,0.003348,0.003052,0.003446,0.003249,0.003273,0.000178
8192.000000,0.002366,0.002483,0.002284,0.002483,0.002267,0.000142
16384.000000,0.001695,0.001723,0.001691,0.001655,0.001686,0.000140
32768.000000,,,,0.001204,0.001210,0.000181
