N,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.083140,0.114611,0.094847,0.095811,0.097232,
512.000000,0.069313,0.069302,0.074830,0.073964,0.073697,0.003080
1024.000000,0.052717,0.051803,0.061447,0.052649,0.051178,0.002117
2048.000000,0.034620,0.038156,0.040587,0.041375,0.037497,0.001529
4096.000000,0.027482,0.027059,0.025354,0.027425,0.025514,0.001076
8192.000000,0.018637,0.018851,0.019455,0.019215,0.018913,0.000751
16384.000000,0.013188,0.013575,0.013027,0.013347,0.013532,0.000530
32768.000000,,,,0.009229,0.009432,0.000379
