N,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.013212,0.014010,0.013384,0.015291,0.013772,
512.000000,0.008948,0.008622,0.010431,0.009029,0.020744,0.000505
1024.000000,0.006488,0.006348,0.007499,0.006400,0.006153,0.000348
2048.000000,0.004678,0.004865,0.004876,0.004838,0.004726,0.000241
4096.000000,0.003268,0.003207,0.003372,0.003262,0.003465,0.000181
8192.000000,0.002339,0.002413,0.002336,0.002368,0.002368,0.000142
16384.000000,0.001661,0.001670,0.001684,0.001693,0.001607,0.000140
32768.000000,,,,0.001190,0.001197,0.000180
