N,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.099824,0.102999,0.092550,0.109764,0.094620,
512.000000,0.069939,0.075195,0.064910,0.068449,0.066068,0.002828
1024.000000,0.055791,0.047956,0.057864,0.059300,0.053593,0.002081
2048.000000,0.037526,0.035529,0.036616,0.035917,0.036435,0.001498
4096.000000,0.025425,0.027708,0.026827,0.027686,0.028515,0.001068
8192.000000,0.018887,0.018593,0.019378,0.018543,0.019139,0.000758
16384.000000,0.013461,0.013506,0.013246,0.013311,0.013278,0.000530
32768.000000,,,,0.009444,0.009227,0.000379
