N,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,0.004873,0.000834,0.000132,0.003729,0.005775,
512.000000,0.000753,0.001635,0.001287,0.008495,0.008575,0.000076
1024.000000,0.000402,0.001307,0.000656,0.004183,0.001504,0.000086
2048.000000,0.000172,0.000292,0.000029,0.002098,0.000591,0.000074
4096.000000,0.000422,0.000746,0.000637,0.002642,0.000971,0.000071
8192.000000,0.000221,0.000540,0.000444,0.003143,0.005411,0.000080
16384.000000,0.000080,0.000311,0.000383,0.000755,0.007187,0.000069
32768.000000,,,,0.006357,0.007586,0.000071
