N,torch-baseline,torch-compile,torch-checkpoint,triton-z-chunks-in-sram-fusedP-split,triton-z-chunks-in-sram-final,triton-z-chunks-in-sram-final-var
256.000000,74.696453,78.984388,58.678801,54.121685,38.599015,40.515052
512.000000,90.212914,92.747101,65.839962,78.062137,59.822619,63.004049
1024.000000,102.978564,107.844883,76.046753,98.508345,80.211209,88.211356
2048.000000,107.956886,110.490667,79.703314,108.038327,93.461966,105.212802
4096.000000,101.771537,107.236567,76.599911,121.988021,108.421367,123.572691
8192.000000,101.600670,105.919381,76.022532,125.043002,111.694710,128.406019
16384.000000,97.197631,104.388412,75.707070,125.887761,117.586714,123.416507
32768.000000,,,74.794142,126.732712,117.371901,130.150770
65536.000000,,,75.662265,127.272451,118.703396,128.957781
