H,torch-baseline,torch-compile,torch-checkpoint,triton-z-chunks-in-sram-fusedP-split,triton-z-chunks-in-sram-final,triton-z-chunks-in-sram-final-var
256.000000,24.778794,49.403442,39.665303,69.656345,64.144515,66.955972
512.000000,43.927699,73.472579,52.386718,99.875183,96.748151,104.356308
1024.000000,67.654319,90.406265,65.486939,115.812031,109.785826,120.734829
2048.000000,85.258168,98.539144,71.411856,123.784073,116.577701,131.086328
4096.000000,95.102140,103.628056,75.532276,124.815670,117.030218,130.186675
8192.000000,103.267759,106.386609,83.221538,125.989346,116.059103,130.644892
