H,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,24.009100,58.543151,57.894075,38.455875,19.713336,64.337480
512.000000,42.185666,80.676811,80.172789,54.954926,35.715208,80.476849
1024.000000,61.850645,86.761195,85.688134,60.166298,54.358354,88.698553
2048.000000,83.193307,103.189383,102.444165,76.272477,83.615994,90.283527
4096.000000,97.786616,109.962219,109.358374,80.712091,96.122870,90.619536
8192.000000,99.884456,104.619572,104.411692,76.542165,98.746000,89.777761
