N,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,66.547995,81.157726,81.354346,58.474545,8.718082,
512.000000,82.715402,99.040950,98.460132,69.134101,16.930915,68.709709
1024.000000,92.536015,109.185230,107.327609,74.187262,32.539440,95.327209
2048.000000,92.821461,115.893757,114.620419,77.372846,55.170027,109.100238
4096.000000,93.401368,110.738056,108.168544,72.786870,71.865584,110.735201
8192.000000,94.058160,104.986518,104.124315,72.995366,83.102425,112.893346
16384.000000,94.083553,106.000405,104.968994,72.944571,84.973587,104.739209
32768.000000,,,,71.987560,82.600291,113.550728
65536.000000,,,,74.607335,84.626123,112.218735
