H,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,24.753049,72.562564,71.173442,39.179905,19.647447,69.537501
512.000000,44.434304,88.903455,86.972024,54.114499,35.965185,99.170806
1024.000000,69.539078,101.576944,100.040130,66.397259,59.777036,105.647425
2048.000000,94.309776,107.024501,105.300744,73.340592,85.107925,113.357329
4096.000000,97.879252,108.727864,107.316026,76.681369,95.894392,112.740983
8192.000000,104.526654,108.949094,107.893188,84.128948,104.046634,108.864533
