N,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,67.450302,80.284541,79.211344,56.965870,8.730129,
512.000000,74.074746,84.026293,84.008779,61.124517,17.201626,46.797293
1024.000000,89.763444,103.286921,102.472649,73.032577,32.560147,63.805566
2048.000000,88.747757,111.248245,115.385585,78.185417,54.758612,77.990588
4096.000000,91.182737,108.864432,108.014498,76.747452,68.704952,86.357777
8192.000000,81.411882,91.701230,90.945149,76.267630,73.274532,88.670249
16384.000000,82.548600,102.868742,102.214741,76.014941,83.742796,86.750536
32768.000000,,,,75.917267,82.577542,90.725420
65536.000000,,,,76.777666,84.885838,89.911312
