H,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,24.501014,68.355095,68.239206,24.329365,19.531970,62.303621
512.000000,43.356598,82.995510,83.117756,39.439929,35.574672,87.568448
1024.000000,66.446837,95.512077,94.722607,54.308135,58.622621,93.977554
2048.000000,82.970481,100.675676,100.863105,63.804700,82.618682,101.716848
4096.000000,93.896856,103.627435,103.862907,70.193149,94.384942,103.832786
8192.000000,99.308196,104.211537,105.619439,79.084662,101.844790,101.900349
