N,torch-baseline,torch-compile,maxauto-compile,torch-checkpoint,malek,triton-z-chunks-in-sram-deployed
256.000000,34.159676,39.045357,42.256293,27.478730,7.769172,
512.000000,52.838723,64.777445,63.065032,43.227819,15.106966,45.320895
1024.000000,69.538255,86.275155,76.975614,53.836778,29.163740,69.888013
2048.000000,81.607675,99.196380,95.053141,62.105478,50.149159,87.984738
4096.000000,82.824856,97.755477,82.788690,62.491348,67.535088,96.352917
8192.000000,84.733070,98.254557,84.134306,63.257467,80.656415,100.450587
16384.000000,83.058267,101.423611,101.058751,63.845054,82.708508,101.713237
32768.000000,,,,64.442056,80.102497,104.247015
65536.000000,,,,64.618825,83.262678,105.496308
