H,torch,torch-compile,torch-compile-checkpoint,triton,triton-recomp,triton-par-recomp,triton-many-recomp,malek
256.000000,16.238420,16.238420,0.488420,,0.238484,0.238484,,1.808762
512.000000,16.238420,16.238420,0.488420,0.105484,0.238484,0.238484,0.105484,1.879075
1024.000000,16.238420,16.238420,0.488420,0.238480,0.238484,0.238484,0.238484,2.019700
2048.000000,16.238420,16.238420,0.488420,0.238480,0.238484,0.238484,0.238484,2.300950
4096.000000,16.238420,16.238420,0.488420,0.238480,0.238484,0.238484,0.238484,2.863450
8192.000000,16.238420,16.238420,0.488420,0.238480,0.238484,0.238484,0.238484,3.988450
