V,torch,torch-compile,torch-compile-checkpoint,triton,triton-recomp,triton-par-recomp,triton-many-recomp,malek
1024.000000,0.363420,0.363420,0.240373,0.238480,0.238484,0.238484,0.238484,0.386887
2048.000000,0.488420,0.488420,0.242326,0.238480,0.238484,0.238484,0.238484,0.402512
4096.000000,0.738420,0.738420,0.246233,0.238480,0.238484,0.238484,0.238484,0.441575
8192.000000,1.238420,1.238420,0.254045,0.238480,0.238484,0.238484,0.238484,0.519700
16384.000000,2.238420,2.238420,0.269670,0.238480,0.238484,0.238484,0.238484,0.675950
32768.000000,4.238420,4.238420,0.300920,0.238480,0.238484,0.238484,0.238484,0.988450
65536.000000,8.238420,8.238420,0.363420,0.238480,0.238484,0.238484,0.238484,1.613450
131072.000000,16.238420,16.238420,0.488420,0.238480,0.238484,0.238484,0.238484,2.863450
